,student_id,gender,grade,region,study_hours,attendance_rate,mid_score,final_score,join_dt
31,32,F,3,Seoul,17.4,95.6,64.1,68.7,2024-05-11
32,33,F,1,Daegu,10.1,83.2,84.0,51.7,2025-02-14
33,34,F,1,Seoul,10.9,90.8,72.6,45.2,2025-02-26
34,35,M,2,Daegu,7.4,92.9,100.0,49.1,2024-04-11
35,36,M,1,Etc,,99.2,100.0,76.1,2024-08-14
36,37,F,2,Busan,,91.7,92.4,81.1,2024-09-26
37,38,M,2,Daegu,4.9,84.1%,72.1,50.2,2024-10-07
38,39,M,2,Gyeonggi,8.9,100.0,54.0,66.3,2025-02-05
39,40,F,1,Gyeonggi,2.9,100.0,58.1,88.5,2024-07-25
40,41,M,3,Etc,11.9,87.0,74.3,82.9,2024-06-13
41,42,F,3,Gyeonggi,3.7,93.8,61.3,64.3,2025-01-27
42,43,M,1,Seoul,2.9,100.0,83.6,43.9,2024-04-02
43,44,F,3,Seoul,24.2,82.1,72.4,93.2,2024-10-20
44,45,F,1,Busan,24.7,95.8,72.4,50.6,2024-05-23
45,46,F,1,Gyeonggi,11.8,88.1,81.6,66.1,2024-12-01
46,47,M,3,Daegu,19.1,86.3,43.7,37.5,2025-02-08
47,48,M,1,Gyeonggi,8.8,90.60000000000001,55.5,53.8,2025-02-07
48,49,M,1,Seoul,8.4,90.7,77.6,69.0,2024-11-14
49,50,M,2,Busan,15.3,88.6,64.2,76.6,2024-07-08
50,51,F,1,Etc,16.4,80.80000000000001,58.7,100.0,2024-10-16
51,52,F,1,Gyeonggi,11.4,87.8,46.6,89.2,2025-02-10
52,53,M,2,Etc,19.7,90.2,76.5,78.8,2025-02-04
53,54,M,1,Etc,20.7,86.9,77.0,52.4,2024-07-17
54,55,F,1,Seoul,17.9,89.9%,61.4,42.9,2024-05-22
55,56,M,3,Gyeonggi,11.9,95.5,56.8,94.1,2024-04-20
56,57,F,1,Seoul,22.3,99.9,91.0,100.0,2024-04-04
57,58,M,3,Gyeonggi,19.9,87.4,34.2,42.7,2024-07-06
58,59,M,1,Seoul,9.3,92.10000000000001,64.6,87.6,2024-10-09
59,60,F,2,Gyeonggi,13.4,91.2,47.9,60.9,2025-02-23
60,61,M,3,Seoul,13.4,99.9%,49.5,86.5,2024-11-06
61,62,F,1,Daegu,0.0,89.7,61.1,99.0,2024-08-19
62,63,M,1,Gyeonggi,9.3,94.69999999999999,87.2,54.1,2024-12-24
63,64,F,1,Gyeonggi,13.2,88.2,53.5,74.5,2024-10-24
64,65,M,2,Gyeonggi,15.8,81.39999999999999%,63.1,72.9,2024-04-25
65,66,M,3,Seoul,18.6,93.8,65.8,63.9,2024-12-18
66,67,M,3,Gyeonggi,14.6,80.5,59.1,65.5,2024-06-18
67,68,M,1,Gyeonggi,5.6,97.7,61.7,70.9,2024-03-31
68,69,F,2,Gyeonggi,11.1,91.5%,79.1,85.0,2024-03-30
69,70,M,2,Busan,23.0,85.7,65.5,73.1,2024-03-10
70,71,M,3,Seoul,20.8,89.7,68.1,72.0,2025-02-26
71,72,F,2,Etc,10.1,82.0,98.1,89.5,2024-09-29
72,73,F,1,Busan,11.4,84.3%,98.5,100.0,2024-08-09
73,74,F,3,Gyeonggi,16.2,91.5,55.4,56.0,2024-11-03
74,75,F,1,Seoul,6.3,100.0,,69.1,2024-03-25
75,76,M,2,Gyeonggi,12.6,87.5,62.1,63.9,2024-11-05
76,77,M,2,Daegu,18.2,98.2,100.0,64.9,2024-04-17
77,78,M,3,Seoul,6.0,80.10000000000001,93.5,84.1,2024-09-17
78,79,M,2,Daegu,20.2,94.89999999999999%,44.6,27.8,2025-02-22
79,80,F,3,Etc,11.6,84.8,86.5,71.8,2024-12-16
80,81,F,1,Busan,8.8,100.0,64.1,67.6,2024-04-04
81,82,M,2,Gyeonggi,2.0,81.69999999999999,95.1,57.9,2024-07-01
82,83,M,1,Seoul,14.2,100.0,82.0,80.8,2024-09-30
83,84,M,3,Gyeonggi,14.0,96.2,96.9,53.5,2024-10-02
84,85,M,3,Gyeonggi,4.4,74.7,65.2,63.4,2024-07-21
85,86,F,3,Gyeonggi,,86.7,69.9,53.5,2024-03-08
86,87,M,1,Seoul,9.5,88.4,80.0,57.7,2025-01-27
87,88,F,2,Busan,3.0,83.8,50.9,80.1,2024-06-29
88,89,F,2,Gyeonggi,0.3,96.89999999999999,76.1,82.9,2024-09-24
89,90,M,1,Gyeonggi,,100.0,78.6,100.0,2024-03-24
90,91,F,3,Etc,10.1,100.0,,79.1,2024-03-05
91,92,F,3,Gyeonggi,6.7,100.0,29.5,38.7,2024-04-13
92,93,F,2,Seoul,5.8,77.8,73.1,41.6,2024-10-28
93,94,M,3,Seoul,13.8,80.60000000000001,86.3,54.2,2024-09-14
94,95,F,1,Etc,12.9,90.9,74.9,75.9,2024-07-03
95,96,F,2,Gyeonggi,19.2,99.5,70.1,,2024-08-08
96,97,F,2,Daegu,11.0,97.8,71.3,93.5,2024-11-17
97,98,M,1,Seoul,0.0,91.7,79.6,70.2,2024-10-13
98,99,M,2,Gyeonggi,7.8,93.89999999999999,59.0,71.6,2024-03-17
99,100,M,2,Gyeonggi,,94.3,57.2,97.4,2024-06-13
100,101,F,2,Seoul,10.9,100.0,71.0,63.9,2024-10-21
101,102,M,1,Busan,3.8,100.0,92.6,87.4,2024-10-04
102,103,M,1,Gyeonggi,3.7,93.0%,60.7,88.7,2024-03-23
103,104,F,2,Seoul,4.4,86.0,58.0,64.8,2024-08-21
104,105,F,3,Seoul,10.0,77.2,96.4,65.3,2024-06-10
105,106,F,3,Seoul,15.8,97.1,77.1,94.4,2024-09-12
106,107,M,2,Etc,9.3,91.4,,67.0,2024-11-16
107,108,F,3,Seoul,9.7,100.0,86.3,66.2,2024-09-04
108,109,F,3,Gyeonggi,20.3,98.4,72.6,63.8,2024-10-15
109,110,M,2,Etc,19.8,88.9,82.9,71.9,2025-01-24
110,111,M,2,Etc,11.1,100.0,50.9,64.3,2024-05-07
111,112,F,1,Gyeonggi,6.9,100.0,,,2024-12-27
112,113,F,1,Gyeonggi,16.1,82.69999999999999,96.0,75.8,2025-02-17
113,114,M,1,Gyeonggi,12.0,92.7%,74.1,80.2,2024-08-17
114,115,F,1,Seoul,20.0,93.0%,60.7,44.7,2024-04-20
115,116,F,1,Etc,13.8,97.5%,93.2,76.9,2024-08-03
116,117,F,3,Seoul,7.9,100.0,75.2,43.9,2024-12-12
117,118,F,1,Seoul,,87.5,33.2,85.4,2024-10-20
118,119,F,2,Seoul,17.2,95.39999999999999,75.9,69.0,2024-10-02
119,120,F,3,Etc,9.5,74.7,64.8,55.6,2024-09-06
120,121,F,2,Seoul,6.9,95.7,86.7,91.5,2024-03-01
121,122,M,1,Seoul,22.8,94.19999999999999,87.1,75.4,2024-05-03
122,123,F,3,Seoul,5.2,96.1,89.0,67.6,2025-01-08
123,124,F,3,Busan,4.2,88.8,86.4,81.0,2024-10-24
124,125,F,2,Etc,14.6,100.0,80.8,61.4,2024-12-31
125,126,F,3,Seoul,9.1,93.10000000000001,80.9,43.9,2024-06-01
126,127,M,3,Seoul,14.0,82.0,57.6,54.4,2025-01-22
127,128,M,1,Busan,10.0,87.6,76.1,70.9,2024-08-24
128,129,M,1,Gyeonggi,12.9,96.89999999999999,61.2,76.6,2024-04-06
129,130,F,2,Seoul,11.7,97.8%,100.0,54.0,2024-03-21
130,131,F,3,Gyeonggi,8.5,88.6,64.0,64.1,2025-02-11
131,132,M,3,Seoul,16.5,91.5,50.9,,2024-06-02
132,133,M,1,Etc,10.2,88.8,41.4,63.9,2024-04-24
133,134,F,2,Etc,,78.4%,53.1,55.8,2025-02-12
134,135,F,1,Etc,14.8,91.8,55.4,68.6,2024-07-19
135,136,M,1,Etc,,84.89999999999999,64.5,100.0,2024-11-11
136,137,M,3,Seoul,11.7,85.9,63.7,70.0,2024-03-28
137,138,M,2,Seoul,18.1,89.3%,63.6,73.0,2024-11-28
138,139,F,2,Busan,11.5,85.7,75.8,61.3,2025-01-03
139,140,M,3,Seoul,14.8,84.5,66.5,58.2,2024-03-02
140,141,F,1,Gyeonggi,10.9,97.7,69.6,68.3,2024-09-27
141,142,F,2,Seoul,14.6,81.39999999999999,87.2,78.7,2024-05-22
142,143,M,3,Seoul,8.8,86.2,60.8,,2024-08-15
143,144,M,1,Seoul,12.1,86.6,67.3,71.6,2024-12-03
144,145,F,2,Daegu,17.5,97.8,60.2,91.4,2024-09-17
145,146,M,3,Daegu,20.0,97.8,89.8,60.0,2024-06-04
146,147,F,3,Gyeonggi,11.0,100.0,75.0,84.8,2024-08-31
147,148,F,3,Gyeonggi,11.6,89.5,,59.9,2024-08-12
148,149,F,1,Seoul,11.5,91.3,52.6,77.0,2024-03-18
149,150,F,2,Etc,16.6,86.3,74.8,69.8,2024-09-25
150,151,M,1,Gyeonggi,0.6,86.8,86.4,79.8,2024-09-25
151,152,F,2,Gyeonggi,19.5,100.0,55.2,73.9,2024-08-30
152,153,M,3,Gyeonggi,4.6,85.0,61.6,52.7,2024-10-14
153,154,F,2,Busan,9.2,93.4,54.0,56.5,2025-02-06
154,155,M,3,Gyeonggi,17.8,93.4,51.0,86.1,2024-06-15
155,156,M,3,Etc,11.9,92.60000000000001,63.0,69.6,2024-09-29
156,157,F,3,Gyeonggi,12.3,88.2,79.6,70.9,2024-12-03
157,158,F,2,Seoul,13.0,100.0,63.3,79.0,2024-08-01
158,159,M,1,Busan,13.7,99.3,100.0,77.7,2024-04-01
159,160,F,2,Seoul,10.6,89.1,61.9,69.8,2024-12-24
160,161,F,3,Seoul,11.1,100.0,74.5,65.8,2024-06-04
161,162,F,1,Gyeonggi,18.9,98.6,64.9,79.0,2024-03-08
162,163,M,3,Gyeonggi,18.6,93.10000000000001,63.1,65.1,2024-10-14
163,164,F,1,Seoul,25.7,81.39999999999999,46.1,54.9,2025-01-28
164,165,F,3,Gyeonggi,21.0,95.8%,70.0,30.3,2024-08-29
165,166,F,1,Busan,16.1,96.8,81.5,63.2,2024-09-27
166,167,F,3,Etc,17.1,93.5,79.3,72.0,2025-02-12
167,168,M,2,Gyeonggi,15.5,91.4,74.6,44.4,2024-09-06
168,169,M,2,Seoul,13.1,92.30000000000001,84.9,100.0,2024-07-04
169,170,F,3,Gyeonggi,4.6,94.1,67.1,100.0,2024-07-29
170,171,F,3,Etc,,94.1,76.2,73.1,2024-05-08
171,172,M,3,Busan,8.0,97.1,62.6,74.9,2024-12-05
172,173,M,2,Daegu,14.9,83.7,76.7,47.0,2024-05-19
173,174,F,2,Seoul,17.6,93.0,80.3,100.0,2024-04-11
174,175,M,1,Gyeonggi,2.8,89.3,75.2,63.2,2024-10-15
175,176,M,2,Gyeonggi,17.2,95.6,90.3,94.6,2024-07-07
176,177,M,2,Daegu,10.8,79.5,94.8,91.6,2024-04-13
177,178,F,1,Seoul,17.5,94.19999999999999%,54.2,55.2,2024-07-12
178,179,M,1,Busan,17.0,93.5,83.4,73.0,2024-11-20
179,180,F,1,Gyeonggi,6.4,96.0,60.3,67.5,2025-02-17
180,181,F,3,Seoul,9.5,100.0,63.2,53.3,2025-02-05
181,182,M,2,Gyeonggi,14.7,79.4%,49.5,68.3,2025-02-20
182,183,M,2,Daegu,3.4,94.3%,71.2,72.1,2024-06-21
183,184,M,1,Gyeonggi,11.1,86.7,49.8,74.9,2024-06-27
184,185,F,2,Seoul,20.5,100.0,94.4,81.4,2024-04-07
185,186,M,1,Seoul,17.6,92.7,79.4,56.9,2024-12-13
186,187,M,1,Gyeonggi,21.5,95.0,76.8,70.5,2024-03-31
187,188,F,3,Busan,8.7,88.3,61.1,65.9,2024-03-15
188,189,M,1,Etc,,85.1,94.3,65.0,2024-09-06
189,190,M,3,Gyeonggi,14.9,94.5,55.2,50.2,2024-04-29
190,191,F,1,Seoul,8.6,96.0,61.7,53.1,2024-08-17
191,192,M,3,Seoul,4.9,82.6,57.2,56.3,2024-09-13
192,193,M,1,Busan,19.9,93.7,63.1,73.5,2025-02-02
193,194,F,1,Busan,17.9,91.9,56.4,70.5,2024-11-30
194,195,M,2,Gyeonggi,10.9,93.10000000000001%,66.0,69.9,2024-10-17
195,196,M,3,Daegu,15.0,90.3,66.5,68.6,2024-03-19
196,197,M,1,Gyeonggi,21.8,89.0,81.7,67.3,2024-04-15
197,198,M,3,Seoul,7.4,83.89999999999999,92.5,40.7,2025-02-28
198,199,F,2,Seoul,20.5,88.6%,67.8,77.1,2024-08-20
199,200,M,2,Seoul,5.6,95.3,94.3,89.9,2024-08-27
200,201,F,3,Etc,5.2,100.0,81.5,62.1,2024-12-27
201,202,F,1,Etc,13.1,95.5,75.9,57.8,2025-01-28
202,203,M,2,Gyeonggi,9.1,79.3,84.2,79.8,2024-06-01
203,204,M,2,Etc,11.5,99.8,94.7,93.3,2024-07-16
204,205,M,2,Etc,10.6,94.6,58.0,74.3,2024-04-30
205,206,F,1,Etc,17.7,100.0,90.3,95.9,2025-02-07
206,207,M,3,Seoul,9.5,100.0%,79.8,97.3,2024-12-13
207,208,M,1,Seoul,4.5,100.0,79.0,83.3,2024-05-11
208,209,M,1,Gyeonggi,11.4,94.3,77.6,,2024-10-08
209,210,F,1,Gyeonggi,26.4,92.0,75.9,50.2,2024-08-04
210,211,M,3,Gyeonggi,5.1,99.3,83.0,54.7,2025-02-21
211,212,M,3,Etc,13.0,89.5,81.9,62.5,2024-11-28
212,213,M,3,Busan,4.4,91.2,96.3,79.7,2024-12-27
213,214,F,1,Gyeonggi,2.7,99.2,60.6,79.9,2024-11-28
214,215,M,1,Daegu,8.3,98.8,51.5,55.6,2024-04-22
215,216,F,2,Gyeonggi,,88.3,46.3,82.8,2024-12-10
216,217,F,1,Etc,20.2,97.7,56.8,58.9,2024-05-24
217,218,F,2,Gyeonggi,12.6,85.7,72.3,57.0,2024-07-08
218,219,F,1,Seoul,11.1,88.3,66.4,48.4,2025-01-09
219,220,M,2,Seoul,15.1,96.39999999999999,60.5,51.7,2024-03-24
220,221,F,3,Gyeonggi,8.4,100.0%,85.1,83.2,2024-04-04
221,222,F,1,Gyeonggi,11.3,99.9%,42.0,60.0,2024-08-08
222,223,F,2,Etc,16.3,93.7,34.5,40.5,2024-11-18
223,224,F,2,Gyeonggi,2.5,80.4,77.4,56.4,2024-06-12
224,225,M,1,Seoul,8.5,88.7,90.3,77.3,2025-01-19
225,226,M,1,Gyeonggi,10.9,93.30000000000001,79.3,45.0,2024-03-26
226,227,F,2,Busan,14.7,94.8,,56.0,2024-04-22
227,228,F,3,Seoul,2.3,90.2,75.1,63.4,2024-09-19
228,229,F,1,Etc,1.1,80.10000000000001,80.5,78.1,2024-12-08
229,230,F,3,Seoul,0.0,87.9,71.9,60.8,2024-06-14
230,231,F,3,Busan,7.2,91.10000000000001,,58.7,2024-10-13
231,232,M,2,Seoul,16.4,86.4,83.5,72.1,2024-08-31
232,233,M,3,Busan,14.7,95.7,44.6,100.0,2024-04-19
233,234,F,3,Gyeonggi,17.3,85.0%,74.8,81.3,2024-04-17
234,235,F,1,Etc,11.0,90.60000000000001,74.3,60.3,2025-02-12
235,236,F,1,Seoul,11.0,88.9,63.9,71.0,2024-12-08
236,237,M,1,Gyeonggi,11.2,78.3,82.5,78.8,2025-01-18
237,238,F,3,Gyeonggi,9.1,89.1,76.4,59.9,2025-01-16
238,239,M,2,Etc,27.2,91.3,56.7,69.5,2024-04-09
239,240,M,2,Seoul,14.3,99.2,40.3,83.7,2024-05-07
240,241,M,2,Daegu,6.8,96.39999999999999,62.6,44.3,2024-10-01
241,242,F,3,Gyeonggi,10.7,92.9,72.7,73.3,2024-11-16
242,243,F,3,Etc,17.4,90.0,66.9,43.8,2024-06-23
243,244,F,3,Seoul,0.4,95.1,80.1,71.6,2025-02-28
244,245,M,2,Seoul,10.4,94.0,85.2,50.7,2024-03-25
245,246,F,3,Gyeonggi,,78.8,82.9,61.4,2025-01-16
246,247,M,3,Busan,15.6,82.6,58.6,80.9,2025-01-10
247,248,M,1,Seoul,,76.3%,63.2,76.9,2024-03-04
248,249,F,2,Gyeonggi,17.2,99.4,88.5,56.8,2024-11-30
249,250,F,1,Gyeonggi,11.4,72.8%,88.8,43.7,2025-02-02
250,251,F,2,Seoul,6.1,100.0,79.6,73.3,2025-02-21
251,252,M,3,Busan,10.8,96.6,86.6,57.2,2024-07-24
252,253,F,2,Gyeonggi,19.9,91.2,78.1,76.5,2024-10-11
253,254,F,3,Seoul,14.7,97.1,98.1,65.5,2024-10-23
254,255,M,1,Gyeonggi,11.9,85.3,100.0,100.0,2024-06-21
255,256,M,3,Seoul,2.9,86.4,64.5,66.4,2024-12-29
256,257,M,3,Gyeonggi,9.9,94.6,82.3,64.9,2025-02-07
257,258,F,1,Etc,16.7,88.8,33.9,88.8,2024-04-03
258,259,M,3,Gyeonggi,17.4,91.0,68.9,74.3,2024-06-01
259,260,F,3,Busan,2.0,87.2,79.2,67.9,2025-01-30
260,261,F,1,Seoul,5.6,88.5,42.0,47.7,2024-11-28
261,262,M,2,Busan,10.5,92.30000000000001,95.8,69.3,2025-01-28
262,263,M,1,Etc,9.8,100.0,67.2,66.3,2024-10-18
263,264,F,3,Busan,15.8,92.9,84.9,66.2,2025-02-27
264,265,F,2,Etc,2.6,87.9,33.1,68.2,2024-10-03
265,266,F,1,Seoul,7.7,95.89999999999999,53.8,83.3,2024-11-19
266,267,F,1,Gyeonggi,17.0,86.7%,88.0,77.7,2024-09-09
267,268,F,1,Seoul,,89.9,70.3,46.9,2024-04-21
268,269,M,1,Gyeonggi,3.3,100.0,79.4,58.7,2024-06-25
269,270,F,2,Gyeonggi,15.6,85.7,77.3,76.0,2024-05-22
270,271,F,1,Seoul,3.5,94.69999999999999%,71.8,69.3,2024-07-09
271,272,F,1,Etc,15.6,89.7,100.0,73.5,2024-03-29
272,273,M,3,Busan,16.2,88.0,79.9,55.4,2024-09-20
273,274,F,1,Busan,13.0,89.8,80.8,92.0,2024-11-19
274,275,F,1,Seoul,,77.9,51.7,77.6,2024-07-01
275,276,M,2,Gyeonggi,,84.3,91.0,97.2,2024-12-27
276,277,M,3,Seoul,20.6,96.89999999999999,89.5,97.6,2024-09-11
277,278,M,3,Seoul,3.2,90.2,25.6,65.8,2024-10-18
278,279,F,1,Gyeonggi,8.0,82.8,76.4,53.5,2024-03-06
279,280,F,1,Daegu,10.4,79.2,72.3,78.7,2024-04-23
280,281,M,1,Busan,12.2,88.5%,59.8,87.8,2024-09-16
281,282,M,3,Seoul,15.2,89.9,96.3,91.2,2024-05-16
282,283,F,1,Seoul,14.6,91.3,61.0,84.1,2025-02-07
283,284,M,1,Seoul,13.3,100.0,78.3,87.9,2024-10-25
284,285,M,2,Busan,10.8,87.2,51.2,63.6,2024-10-30
285,286,M,2,Etc,6.5,91.4,66.4,,2025-02-21
286,287,F,1,Gyeonggi,18.0,93.0,56.2,68.1,2024-09-11
287,288,M,1,Seoul,14.3,78.9,86.1,71.9,2024-08-18
288,289,F,1,Seoul,16.3,97.3,75.7,91.0,2024-07-02
289,290,F,2,Daegu,10.7,88.2,48.8,81.7,2024-12-06
290,291,F,1,Busan,16.4,93.8,72.3,55.0,2024-10-31
291,292,M,1,Etc,0.0,89.9,84.6,92.7,2024-06-01
292,293,F,2,Etc,18.5,98.8,55.4,76.3,2024-04-13
293,294,F,3,Seoul,10.8,92.80000000000001,61.3,69.3,2024-04-15
294,295,F,3,Seoul,9.3,96.89999999999999,67.8,47.9,2025-02-20
295,296,M,2,Seoul,8.8,95.1,75.4,64.9,2024-06-03
296,297,M,1,Gyeonggi,8.2,89.5,73.9,81.9,2025-02-22
297,298,M,3,Gyeonggi,,84.89999999999999%,93.9,72.5,2024-04-05
298,299,M,3,Daegu,13.3,82.0%,60.0,63.3,2024-09-18
299,300,F,3,Seoul,21.6,73.2,87.5,75.2,2024-11-11
300,301,M,1,Seoul,12.2,94.8%,76.5,70.1,2024-12-22
301,302,F,3,Gyeonggi,5.0,85.5,91.9,100.0,2024-03-12
302,303,F,1,Seoul,25.6,100.0,81.8,63.6,2024-08-26
303,304,F,3,Daegu,11.7,92.9,69.1,71.1,2024-04-12
304,305,F,3,Seoul,11.1,100.0,65.9,70.7,2024-10-27
305,306,M,1,Gyeonggi,,97.8,83.7,76.0,2024-12-29
306,307,F,3,Seoul,3.6,92.4,83.4,68.7,2024-03-08
307,308,F,3,Etc,19.3,88.7,86.6,75.9,2024-08-22
308,309,F,1,Seoul,4.8,95.39999999999999,64.5,77.8,2024-07-29
309,310,F,3,Gyeonggi,18.0,90.2,50.1,89.9,2024-10-31
310,311,F,1,Gyeonggi,10.3,82.3,71.1,28.7,2024-06-11
311,312,F,1,Etc,15.5,86.9,84.3,42.8,2024-10-13
312,313,M,1,Daegu,10.2,91.4,57.9,51.4,2024-12-03
313,314,M,1,Etc,13.9,94.3%,69.1,81.9,2024-11-18
314,315,F,1,Gyeonggi,11.9,83.39999999999999,94.2,73.5,2025-02-04
315,316,M,3,Seoul,12.2,86.8,53.9,79.7,2024-03-05
316,317,M,1,Seoul,19.5,99.1,73.9,80.0,2024-09-04
317,318,F,2,Seoul,,85.39999999999999,60.9,61.9,2024-06-12
318,319,M,1,Gyeonggi,5.4,85.0,62.6,87.6,2025-01-22
319,320,F,2,Gyeonggi,2.4,100.0,68.6,79.3,2024-08-02
320,321,F,2,Seoul,8.6,94.1,81.8,85.3,2024-06-28
321,322,F,1,Busan,15.9,84.3,49.9,59.3,2024-11-25
322,323,F,1,Gyeonggi,15.6,96.1%,72.2,51.9,2024-06-19
323,324,F,3,Seoul,16.8,90.0,96.2,57.0,2024-05-07
324,325,F,2,Gyeonggi,14.5,91.60000000000001%,95.3,73.5,2024-10-21
325,326,M,2,Etc,14.3,88.0,77.7,45.2,2024-07-02
326,327,F,3,Seoul,7.5,89.4,72.8,76.5,2024-10-18
327,328,F,3,Gyeonggi,15.4,99.6,19.2,98.8,2024-03-13
328,329,F,3,Gyeonggi,21.0,100.0,28.6,75.4,2024-08-31
329,330,M,3,Seoul,11.2,100.0,70.3,76.0,2025-01-21
330,331,M,1,Seoul,16.0,84.3%,61.2,68.6,2025-02-20
331,332,M,1,Gyeonggi,8.6,99.8,27.0,69.4,2024-12-15
332,333,F,3,Seoul,18.3,92.9,78.8,72.7,2024-06-13
333,334,F,2,Gyeonggi,16.0,95.0%,77.9,58.1,2024-11-29
334,335,M,2,Gyeonggi,12.8,88.2,72.5,59.0,2024-06-17
335,336,F,3,Seoul,6.3,97.1,64.5,63.4,2024-04-02
336,337,M,2,Seoul,14.1,86.2,58.4,73.6,2024-07-02
337,338,M,3,Gyeonggi,21.9,100.0,89.5,48.6,2024-03-04
338,339,F,3,Gyeonggi,12.8,84.1,80.2,50.8,2024-12-09
339,340,M,3,Etc,25.8,89.1%,66.7,47.4,2024-10-23
340,341,F,2,Gyeonggi,4.4,91.5,57.3,53.8,2024-04-16
341,342,F,3,Gyeonggi,7.5,83.3,52.8,73.3,2024-05-20
342,343,M,1,Etc,7.8,97.7,76.2,56.2,2024-03-21
343,344,M,3,Daegu,12.1,100.0,81.8,76.0,2024-11-23
344,345,M,1,Gyeonggi,17.6,95.19999999999999,71.4,100.0,2024-09-10
345,346,M,2,Gyeonggi,8.8,86.2,56.6,86.1,2024-09-25
346,347,F,3,Gyeonggi,12.1,81.89999999999999,,95.0,2024-05-01
347,348,F,3,Seoul,15.5,100.0,67.2,53.6,2024-12-24
348,349,F,2,Seoul,12.9,100.0,68.9,100.0,2024-04-18
349,350,F,3,Seoul,12.5,98.9,81.8,99.6,2024-10-04
350,351,F,1,Gyeonggi,11.6,99.3,58.3,52.1,2024-11-21
351,352,M,3,Seoul,20.6,97.5,74.7,52.3,2024-12-10
352,353,F,1,Seoul,7.3,87.0,100.0,82.4,2024-05-14
353,354,M,2,Seoul,21.3,94.1,79.6,62.3,2024-11-21
354,355,F,1,Seoul,8.5,89.8%,57.2,81.5,2024-12-09
355,356,F,1,Gyeonggi,16.0,92.9,58.4,72.1,2024-04-14
356,357,F,3,Gyeonggi,15.4,100.0,58.2,87.4,2025-02-06
357,358,M,3,Busan,12.0,88.5%,59.8,95.0,2024-03-18
358,359,M,1,Gyeonggi,12.3,87.5,75.4,73.1,2024-04-08
359,360,F,3,Etc,14.8,83.1,80.9,82.7,2025-01-29
360,361,M,1,Busan,10.8,93.30000000000001,57.6,62.8,2024-09-06
361,362,M,2,Daegu,8.3,87.5,95.0,72.5,2024-12-03
362,363,F,2,Gyeonggi,18.8,80.2,67.8,81.4,2024-05-20
363,364,M,3,Gyeonggi,10.2,88.8,97.2,48.7,2024-12-27
364,365,M,2,Etc,12.4,91.60000000000001,100.0,63.1,2024-06-03
365,366,M,3,Gyeonggi,10.8,92.4,50.3,87.9,2024-05-15
366,367,M,2,Gyeonggi,13.7,90.8%,97.2,70.2,2024-05-11
367,368,M,2,Busan,16.4,86.7,56.3,25.7,2024-07-04
368,369,F,1,Gyeonggi,7.8,92.7,69.7,77.2,2024-12-23
369,370,F,3,Gyeonggi,0.0,92.60000000000001,56.6,71.8,2024-06-16
370,371,M,3,Busan,25.2,85.2,82.1,67.7,2024-11-19
371,372,F,2,Seoul,5.0,92.60000000000001,60.2,83.0,2024-03-15
372,373,M,2,Etc,13.5,97.3,73.0,100.0,2024-03-28
373,374,M,2,Etc,6.4,87.3,66.7,76.5,2024-08-13
374,375,M,1,Gyeonggi,11.7,87.7,58.0,60.7,2024-10-14
