,sensor_id,ts,temp_c,hum_pct,vibration
87,S01,2025-02-04 15:00:00,26.34,39.92,0.898
88,S01,2025-02-04 16:00:00,27.19,33.98,
89,S01,2025-02-04 17:00:00,24.76,31.12,0.553
90,S01,2025-02-04 18:00:00,24.55,30.32,
91,S01,2025-02-04 19:00:00,25.08,41.6,2.49
92,S01,2025-02-04 20:00:00,23.16,50.76,1.202
93,S01,2025-02-04 21:00:00,23.12,27.27,1.084
94,S01,2025-02-04 22:00:00,21.48,25.16,0.48
95,S01,2025-02-04 23:00:00,23.48,56.34,0.172
96,S01,2025-02-05 00:00:00,26.98C,35.55,0.584
97,S01,2025-02-05 01:00:00,22.96,66.65,1.094
98,S01,2025-02-05 02:00:00,19.47,48.7,0.243
99,S01,2025-02-05 03:00:00,19.23,30.9,0.656
100,S01,2025-02-05 04:00:00,18.21,54.0,2.31
101,S01,2025-02-05 05:00:00,22.07,54.9,2.539
102,S01,2025-02-05 06:00:00,22.27,28.11,1.698
103,S01,2025-02-05 07:00:00,16.92,42.36,1.32
104,S01,2025-02-05 08:00:00,22.86,58.33,0.474
105,S01,2025-02-05 09:00:00,19.84,29.88,0.619
106,S01,2025-02-05 10:00:00,25.98,49.06,1.131
107,S01,2025-02-05 11:00:00,22.32C,48.18,1.18
108,S01,2025-02-05 12:00:00,27.15,64.0,1.396
109,S01,2025-02-05 13:00:00,20.78,57.78,1.715
110,S01,2025-02-05 14:00:00,21.44,,1.242
111,S01,2025-02-05 15:00:00,23.35,30.8,0.129
112,S01,2025-02-05 16:00:00,25.77,41.42,1.531
113,S01,2025-02-05 17:00:00,24.45,45.79,0.637
114,S01,2025-02-05 18:00:00,19.2,44.62,0.892
115,S01,2025-02-05 19:00:00,23.6,40.55,1.51
116,S01,2025-02-05 20:00:00,23.27,35.49,0.743
117,S01,2025-02-05 21:00:00,22.06,57.32,2.231
118,S01,2025-02-05 22:00:00,21.56,41.07,0.887
119,S01,2025-02-05 23:00:00,28.89,,0.703
120,S01,2025-02-06 00:00:00,19.03C,46.93,0.346
121,S01,2025-02-06 01:00:00,17.81,46.22,0.731
122,S01,2025-02-06 02:00:00,22.41,44.69,
123,S01,2025-02-06 03:00:00,21.04,56.65,2.312
124,S01,2025-02-06 04:00:00,20.57,34.88,0.667
125,S01,2025-02-06 05:00:00,23.29,47.46,1.923
126,S01,2025-02-06 06:00:00,22.57,,1.325
127,S01,2025-02-06 07:00:00,22.34,40.38,0.478
128,S01,2025-02-06 08:00:00,24.29,46.33,0.327
129,S01,2025-02-06 09:00:00,22.4,51.32,0.502
130,S01,2025-02-06 10:00:00,19.85,50.06,0.953
131,S01,2025-02-06 11:00:00,20.76,,0.592
132,S01,2025-02-06 12:00:00,20.44,32.79,0.738
133,S01,2025-02-06 13:00:00,22.78,36.08,1.109
134,S01,2025-02-06 14:00:00,19.07,45.11,0.361
135,S01,2025-02-06 15:00:00,16.95,42.03,0.55
136,S01,2025-02-06 16:00:00,22.86C,41.94,1.647
137,S01,2025-02-06 17:00:00,18.74,39.73,2.455
138,S01,2025-02-06 18:00:00,17.04,27.91,1.336
139,S01,2025-02-06 19:00:00,24.17,50.98,0.316
140,S01,2025-02-06 20:00:00,21.07,34.61,2.023
141,S01,2025-02-06 21:00:00,24.84,60.45,1.707
142,S01,2025-02-06 22:00:00,21.91,72.34,0.391
143,S01,2025-02-06 23:00:00,20.28,52.77,1.179
144,S01,2025-02-07 00:00:00,16.47,49.6,0.203
145,S01,2025-02-07 01:00:00,18.81C,38.78,0.57
146,S01,2025-02-07 02:00:00,19.68,35.36,4.324
147,S01,2025-02-07 03:00:00,18.18,41.0,0.235
148,S01,2025-02-07 04:00:00,19.96,54.95,1.447
149,S01,2025-02-07 05:00:00,16.34,45.36,0.652
150,S01,2025-02-07 06:00:00,21.14,29.03,0.437
151,S01,2025-02-07 07:00:00,15.87,52.89,0.468
152,S01,2025-02-07 08:00:00,20.82,40.09,0.143
153,S01,2025-02-07 09:00:00,23.64,53.11,0.34
154,S01,2025-02-07 10:00:00,24.98,45.1,1.397
155,S01,2025-02-07 11:00:00,26.99,37.28,1.985
156,S01,2025-02-07 12:00:00,17.33,40.51,1.224
157,S01,2025-02-07 13:00:00,24.43,52.26,0.211
158,S01,2025-02-07 14:00:00,25.92,39.41,1.432
159,S01,2025-02-07 15:00:00,25.39,58.17,0.941
160,S01,2025-02-07 16:00:00,19.81,37.28,2.542
161,S01,2025-02-07 17:00:00,23.99,59.12,2.156
162,S01,2025-02-07 18:00:00,28.48,32.0,1.764
163,S01,2025-02-07 19:00:00,18.56,34.38,2.318
164,S01,2025-02-07 20:00:00,24.63,50.87,0.852
165,S01,2025-02-07 21:00:00,26.69,59.76,0.677
166,S01,2025-02-07 22:00:00,21.41,42.09,2.967
167,S01,2025-02-07 23:00:00,25.4,52.78,0.71
168,S01,2025-02-08 00:00:00,16.99,35.9,0.532
169,S01,2025-02-08 01:00:00,17.91,,0.618
170,S01,2025-02-08 02:00:00,18.05,45.22,1.146
171,S01,2025-02-08 03:00:00,21.23,66.05,1.255
172,S01,2025-02-08 04:00:00,20.53,42.33,0.48
173,S01,2025-02-08 05:00:00,23.81,29.24,0.443
174,S01,2025-02-08 06:00:00,18.28,20.7,3.115
175,S01,2025-02-08 07:00:00,20.86,44.11,0.668
176,S01,2025-02-08 08:00:00,24.28,50.87,2.13
177,S01,2025-02-08 09:00:00,23.23,41.3,1.9
178,S01,2025-02-08 10:00:00,17.73,46.47,0.296
179,S01,2025-02-08 11:00:00,23.85,37.17,0.886
180,S01,2025-02-08 12:00:00,20.56,57.16,1.486
181,S01,2025-02-08 13:00:00,23.31,49.68,1.678
182,S01,2025-02-08 14:00:00,23.2,31.04,1.24
183,S01,2025-02-08 15:00:00,26.11,38.64,1.467
184,S01,2025-02-08 16:00:00,22.95,56.64,2.053
185,S01,2025-02-08 17:00:00,17.19,44.33,1.382
186,S01,2025-02-08 18:00:00,18.79C,21.41,0.711
187,S01,2025-02-08 19:00:00,25.24C,40.71,1.172
188,S01,2025-02-08 20:00:00,22.43,39.6,0.377
189,S01,2025-02-08 21:00:00,26.76,17.81,1.827
190,S01,2025-02-08 22:00:00,24.32,49.04,0.758
191,S01,2025-02-08 23:00:00,21.4,58.16,0.354
192,S01,2025-02-09 00:00:00,23.45,39.06,3.215
193,S01,2025-02-09 01:00:00,17.93,35.61,0.239
194,S01,2025-02-09 02:00:00,14.34,,1.795
195,S01,2025-02-09 03:00:00,26.84,39.67,0.79
196,S01,2025-02-09 04:00:00,15.07,43.54,0.826
197,S01,2025-02-09 05:00:00,22.86,49.39,0.799
198,S01,2025-02-09 06:00:00,23.92,28.64,1.035
199,S01,2025-02-09 07:00:00,21.69,40.9,0.575
200,S01,2025-02-09 08:00:00,16.35,62.84,0.802
201,S01,2025-02-09 09:00:00,24.6C,42.81,0.664
202,S01,2025-02-09 10:00:00,17.38,45.22,0.382
203,S01,2025-02-09 11:00:00,17.82,47.49,0.389
204,S01,2025-02-09 12:00:00,20.91,35.99,0.391
205,S01,2025-02-09 13:00:00,24.52,30.33,0.762
206,S01,2025-02-09 14:00:00,23.2,66.6,1.869
207,S01,2025-02-09 15:00:00,24.88,44.35,1.162
208,S01,2025-02-09 16:00:00,21.27,34.08,1.291
209,S01,2025-02-09 17:00:00,22.23,52.79,0.904
210,S01,2025-02-09 18:00:00,19.49,40.09,0.283
211,S01,2025-02-09 19:00:00,22.1,34.87,2.889
212,S01,2025-02-09 20:00:00,24.98,38.98,0.89
213,S01,2025-02-09 21:00:00,22.45,30.64,2.553
214,S01,2025-02-09 22:00:00,24.93,33.99,0.777
215,S01,2025-02-09 23:00:00,21.93,52.93,3.021
216,S01,2025-02-10 00:00:00,18.42C,45.15,0.167
217,S01,2025-02-10 01:00:00,20.47,41.34,1.215
218,S01,2025-02-10 02:00:00,19.92,56.93,1.414
219,S01,2025-02-10 03:00:00,22.43C,51.04,0.741
220,S01,2025-02-10 04:00:00,21.33,40.06,0.914
221,S01,2025-02-10 05:00:00,26.17,29.42,1.814
222,S01,2025-02-10 06:00:00,20.44,38.69,0.037
223,S01,2025-02-10 07:00:00,20.57,56.63,2.248
224,S01,2025-02-10 08:00:00,18.28,34.79,1.377
225,S01,2025-02-10 09:00:00,21.62,65.36,2.231
226,S01,2025-02-10 10:00:00,23.75,41.89,0.287
227,S01,2025-02-10 11:00:00,19.63,30.58,0.186
228,S01,2025-02-10 12:00:00,21.85,39.54,0.637
229,S01,2025-02-10 13:00:00,24.31,58.3,0.928
230,S01,2025-02-10 14:00:00,21.92,37.9,4.33
231,S01,2025-02-10 15:00:00,20.89,48.48,1.029
232,S01,2025-02-10 16:00:00,25.52,51.36,3.473
233,S01,2025-02-10 17:00:00,23.04,38.53,
234,S01,2025-02-10 18:00:00,24.09C,54.5,0.891
235,S01,2025-02-10 19:00:00,26.56,58.12,1.153
236,S01,2025-02-10 20:00:00,26.64,51.92,0.401
237,S01,2025-02-10 21:00:00,22.31,26.59,0.906
238,S01,2025-02-10 22:00:00,21.92,47.12,0.854
239,S01,2025-02-10 23:00:00,24.5,51.38,0.936
240,S01,2025-02-11 00:00:00,19.8,52.97,2.843
241,S01,2025-02-11 01:00:00,14.65,62.26,0.924
242,S01,2025-02-11 02:00:00,24.33,47.09,0.269
243,S01,2025-02-11 03:00:00,20.71,44.66,0.567
244,S01,2025-02-11 04:00:00,23.01,23.9,0.388
245,S01,2025-02-11 05:00:00,17.43,32.61,1.968
246,S01,2025-02-11 06:00:00,24.96,55.37,1.369
247,S01,2025-02-11 07:00:00,19.49,32.79,0.691
248,S01,2025-02-11 08:00:00,21.08C,41.81,1.306
249,S01,2025-02-11 09:00:00,17.35,27.47,2.671
250,S01,2025-02-11 10:00:00,21.2,41.3,1.495
251,S01,2025-02-11 11:00:00,21.16,32.04,1.064
252,S01,2025-02-11 12:00:00,21.44C,,2.269
253,S01,2025-02-11 13:00:00,23.47,43.37,1.126
254,S01,2025-02-11 14:00:00,22.48,47.57,0.52
255,S01,2025-02-11 15:00:00,25.38,28.88,0.409
256,S01,2025-02-11 16:00:00,21.2,42.08,1.989
257,S01,2025-02-11 17:00:00,19.76,52.51,0.884
258,S01,2025-02-11 18:00:00,22.84,12.63,1.826
259,S01,2025-02-11 19:00:00,24.94,37.97,2.932
260,S01,2025-02-11 20:00:00,26.93,43.09,1.1
261,S01,2025-02-11 21:00:00,25.79,52.17,0.263
262,S01,2025-02-11 22:00:00,18.2,49.97,1.564
263,S01,2025-02-11 23:00:00,24.78,50.25,0.898
264,S01,2025-02-12 00:00:00,24.58,47.39,0.477
265,S01,2025-02-12 01:00:00,20.54,51.81,1.484
266,S01,2025-02-12 02:00:00,18.95,,0.88
267,S01,2025-02-12 03:00:00,21.58,42.94,0.632
268,S01,2025-02-12 04:00:00,19.29,32.44,0.584
269,S01,2025-02-12 05:00:00,22.87,42.01,0.292
270,S01,2025-02-12 06:00:00,21.06,41.55,2.214
271,S01,2025-02-12 07:00:00,25.43,59.47,0.136
272,S01,2025-02-12 08:00:00,22.9C,33.03,0.619
273,S01,2025-02-12 09:00:00,19.38,46.73,1.23
274,S01,2025-02-12 10:00:00,23.51,41.28,1.823
275,S01,2025-02-12 11:00:00,24.66,44.66,1.779
276,S01,2025-02-12 12:00:00,20.29C,54.91,0.627
277,S01,2025-02-12 13:00:00,20.87,43.56,1.804
278,S01,2025-02-12 14:00:00,15.38,35.06,0.413
279,S01,2025-02-12 15:00:00,25.16,45.28,0.832
280,S01,2025-02-12 16:00:00,20.84C,53.9,0.983
281,S01,2025-02-12 17:00:00,16.38,47.47,0.845
282,S01,2025-02-12 18:00:00,17.59,51.3,0.651
283,S01,2025-02-12 19:00:00,22.38,30.81,0.538
284,S01,2025-02-12 20:00:00,25.48,53.63,0.582
285,S01,2025-02-12 21:00:00,23.08,39.58,0.305
286,S01,2025-02-12 22:00:00,24.92,,1.233
287,S01,2025-02-12 23:00:00,20.35,47.6,0.156
288,S01,2025-02-13 00:00:00,16.18,30.21,2.718
289,S01,2025-02-13 01:00:00,23.01,47.17,2.911
290,S01,2025-02-13 02:00:00,21.98,60.24,0.611
291,S01,2025-02-13 03:00:00,20.56,38.95,0.994
292,S01,2025-02-13 04:00:00,24.65,35.66,0.756
293,S01,2025-02-13 05:00:00,18.1C,55.54,2.736
294,S01,2025-02-13 06:00:00,19.84,50.97,1.006
295,S01,2025-02-13 07:00:00,24.33,53.1,0.47
296,S01,2025-02-13 08:00:00,26.91C,25.49,0.546
297,S01,2025-02-13 09:00:00,21.58,36.13,
298,S01,2025-02-13 10:00:00,26.74,62.95,2.065
299,S01,2025-02-13 11:00:00,20.04,36.31,0.364
300,S01,2025-02-13 12:00:00,22.99,39.96,1.133
301,S01,2025-02-13 13:00:00,21.63,45.72,1.687
302,S01,2025-02-13 14:00:00,17.54,46.67,1.955
303,S01,2025-02-13 15:00:00,23.22,42.63,0.31
304,S01,2025-02-13 16:00:00,25.4,18.48,0.175
305,S01,2025-02-13 17:00:00,22.31,49.93,0.924
306,S01,2025-02-13 18:00:00,22.69,32.92,0.582
307,S01,2025-02-13 19:00:00,27.23,54.03,0.676
308,S01,2025-02-13 20:00:00,19.45,56.9,0.211
309,S01,2025-02-13 21:00:00,18.86,33.55,0.579
310,S01,2025-02-13 22:00:00,21.54,45.86,0.503
311,S01,2025-02-13 23:00:00,20.06,60.75,0.769
312,S01,2025-02-14 00:00:00,24.24C,61.62,0.351
313,S01,2025-02-14 01:00:00,21.28C,54.17,1.175
314,S01,2025-02-14 02:00:00,17.91,39.48,0.946
315,S01,2025-02-14 03:00:00,18.81,48.77,2.038
316,S01,2025-02-14 04:00:00,29.38,35.26,1.394
317,S01,2025-02-14 05:00:00,19.12,59.67,0.796
318,S01,2025-02-14 06:00:00,18.81,48.24,1.138
319,S01,2025-02-14 07:00:00,22.16,58.62,0.388
320,S01,2025-02-14 08:00:00,23.31,19.6,1.188
321,S01,2025-02-14 09:00:00,22.22,39.06,0.607
322,S01,2025-02-14 10:00:00,18.97,39.45,0.376
323,S01,2025-02-14 11:00:00,18.37,40.64,2.638
324,S01,2025-02-14 12:00:00,23.79,32.17,1.102
325,S01,2025-02-14 13:00:00,21.99,49.22,0.567
326,S01,2025-02-14 14:00:00,17.38,35.91,0.753
327,S01,2025-02-14 15:00:00,25.96,63.22,0.408
328,S01,2025-02-14 16:00:00,24.93,40.89,
329,S01,2025-02-14 17:00:00,22.03,39.94,1.015
330,S01,2025-02-14 18:00:00,22.12,37.51,1.661
331,S01,2025-02-14 19:00:00,23.74,50.47,1.162
332,S01,2025-02-14 20:00:00,21.14,47.99,1.28
333,S01,2025-02-14 21:00:00,19.31,35.01,2.352
334,S01,2025-02-14 22:00:00,24.47,14.51,1.058
335,S01,2025-02-14 23:00:00,19.33,41.06,1.013
336,S01,2025-02-15 00:00:00,21.37,36.23,1.152
337,S01,2025-02-15 01:00:00,16.03,44.64,0.191
338,S01,2025-02-15 02:00:00,20.2,35.84,1.488
339,S01,2025-02-15 03:00:00,20.24,47.63,0.631
340,S01,2025-02-15 04:00:00,26.15,33.15,1.559
341,S01,2025-02-15 05:00:00,17.76,47.19,0.423
342,S01,2025-02-15 06:00:00,16.86,42.28,0.324
343,S01,2025-02-15 07:00:00,19.31,54.17,0.337
344,S01,2025-02-15 08:00:00,18.03,,1.597
345,S01,2025-02-15 09:00:00,19.78,50.92,1.725
346,S01,2025-02-15 10:00:00,22.96C,41.65,0.508
347,S01,2025-02-15 11:00:00,24.17,42.59,0.057
348,S01,2025-02-15 12:00:00,26.98,37.77,0.933
349,S01,2025-02-15 13:00:00,19.94,31.71,1.555
350,S01,2025-02-15 14:00:00,30.22,46.49,2.542
351,S01,2025-02-15 15:00:00,28.4,44.41,2.042
352,S01,2025-02-15 16:00:00,21.99,,1.032
353,S01,2025-02-15 17:00:00,15.88,49.29,0.367
354,S01,2025-02-15 18:00:00,22.65,63.2,1.249
355,S01,2025-02-15 19:00:00,23.27,64.06,0.569
356,S01,2025-02-15 20:00:00,16.3,,0.909
357,S01,2025-02-15 21:00:00,23.57,34.64,0.091
358,S01,2025-02-15 22:00:00,22.9,42.55,0.966
359,S01,2025-02-15 23:00:00,21.29C,54.99,2.17
360,S01,2025-02-16 00:00:00,22.08,44.29,0.337
361,S01,2025-02-16 01:00:00,23.37,55.81,1.872
362,S01,2025-02-16 02:00:00,19.04,41.24,1.556
363,S01,2025-02-16 03:00:00,21.34,45.88,0.652
364,S01,2025-02-16 04:00:00,18.84,54.17,1.927
365,S01,2025-02-16 05:00:00,18.59,51.52,1.154
366,S01,2025-02-16 06:00:00,21.34,48.29,0.652
367,S01,2025-02-16 07:00:00,22.82,47.47,1.28
368,S01,2025-02-16 08:00:00,19.71,50.73,1.769
369,S01,2025-02-16 09:00:00,14.91,44.18,0.278
370,S01,2025-02-16 10:00:00,23.46,54.95,3.756
371,S01,2025-02-16 11:00:00,17.06,39.19,0.619
372,S01,2025-02-16 12:00:00,22.37,75.17,0.779
373,S01,2025-02-16 13:00:00,27.49,47.33,2.022
374,S01,2025-02-16 14:00:00,22.25,36.7,0.926
375,S01,2025-02-16 15:00:00,18.88,28.9,1.187
376,S01,2025-02-16 16:00:00,18.22,35.99,
377,S01,2025-02-16 17:00:00,26.26,48.96,0.776
378,S01,2025-02-16 18:00:00,22.85,40.13,1.102
379,S01,2025-02-16 19:00:00,24.67,56.57,1.486
380,S01,2025-02-16 20:00:00,25.98,41.52,0.867
381,S01,2025-02-16 21:00:00,23.2,34.55,1.437
382,S01,2025-02-16 22:00:00,22.57,41.8,
383,S01,2025-02-16 23:00:00,20.81,39.53,1.647
384,S01,2025-02-17 00:00:00,10.95,42.97,1.084
385,S01,2025-02-17 01:00:00,15.8,33.45,0.613
386,S01,2025-02-17 02:00:00,20.29,43.5,0.253
387,S01,2025-02-17 03:00:00,20.12,26.1,1.103
388,S01,2025-02-17 04:00:00,22.01,,0.353
389,S01,2025-02-17 05:00:00,20.57,43.56,0.456
390,S01,2025-02-17 06:00:00,21.58,43.34,0.679
391,S01,2025-02-17 07:00:00,23.61,36.77,1.257
392,S01,2025-02-17 08:00:00,18.74,44.34,0.279
393,S01,2025-02-17 09:00:00,20.69C,46.89,1.873
394,S01,2025-02-17 10:00:00,16.88,27.51,1.499
395,S01,2025-02-17 11:00:00,24.77,54.67,0.474
396,S01,2025-02-17 12:00:00,22.12,43.38,2.203
397,S01,2025-02-17 13:00:00,23.62,49.76,1.049
398,S01,2025-02-17 14:00:00,26.93,60.16,0.599
399,S01,2025-02-17 15:00:00,25.69,32.57,1.937
400,S01,2025-02-17 16:00:00,22.42,,0.583
401,S01,2025-02-17 17:00:00,25.11,35.33,1.815
402,S01,2025-02-17 18:00:00,18.6,45.37,0.908
403,S01,2025-02-17 19:00:00,24.35,34.9,1.267
404,S01,2025-02-17 20:00:00,23.62,36.28,1.13
405,S01,2025-02-17 21:00:00,18.5,62.42,1.154
406,S01,2025-02-17 22:00:00,27.51,42.49,1.82
407,S01,2025-02-17 23:00:00,21.54,49.1,1.1
408,S01,2025-02-18 00:00:00,22.25,55.1,0.415
409,S01,2025-02-18 01:00:00,19.09C,,0.078
410,S01,2025-02-18 02:00:00,23.48,30.73,1.312
411,S01,2025-02-18 03:00:00,24.59,48.94,3.436
412,S01,2025-02-18 04:00:00,18.31,52.76,1.489
413,S01,2025-02-18 05:00:00,16.36,56.24,0.564
414,S01,2025-02-18 06:00:00,20.71,38.4,1.862
415,S01,2025-02-18 07:00:00,23.8,40.79,0.826
416,S01,2025-02-18 08:00:00,20.29,46.99,1.625
417,S01,2025-02-18 09:00:00,19.71,45.58,0.92
418,S01,2025-02-18 10:00:00,23.16C,41.86,3.012
419,S01,2025-02-18 11:00:00,13.57C,38.98,0.958
420,S01,2025-02-18 12:00:00,20.01,43.87,2.617
421,S01,2025-02-18 13:00:00,18.0,42.24,1.196
422,S01,2025-02-18 14:00:00,23.18,47.58,0.301
423,S01,2025-02-18 15:00:00,20.24,38.83,0.614
424,S01,2025-02-18 16:00:00,19.25,34.85,0.385
425,S01,2025-02-18 17:00:00,21.69,40.52,0.412
426,S01,2025-02-18 18:00:00,18.49,42.95,0.985
427,S01,2025-02-18 19:00:00,23.01,55.74,0.353
428,S01,2025-02-18 20:00:00,21.15,41.12,0.71
429,S01,2025-02-18 21:00:00,22.22,24.03,1.302
430,S01,2025-02-18 22:00:00,21.35,67.15,0.594
431,S01,2025-02-18 23:00:00,26.39,57.23,0.39
432,S01,2025-02-19 00:00:00,19.87,51.04,1.699
433,S01,2025-02-19 01:00:00,21.92,49.94,4.256
434,S01,2025-02-19 02:00:00,21.94,45.54,0.968
435,S01,2025-02-19 03:00:00,18.23,62.76,1.916
436,S01,2025-02-19 04:00:00,22.51,32.94,2.407
437,S01,2025-02-19 05:00:00,22.0,52.7,0.417
438,S01,2025-02-19 06:00:00,22.04,52.8,0.452
439,S01,2025-02-19 07:00:00,20.05,69.11,1.758
440,S01,2025-02-19 08:00:00,20.12C,44.33,2.13
441,S01,2025-02-19 09:00:00,23.91,60.66,
442,S01,2025-02-19 10:00:00,28.25,49.62,1.124
443,S01,2025-02-19 11:00:00,19.36,35.27,0.658
444,S01,2025-02-19 12:00:00,23.6,34.14,1.226
445,S01,2025-02-19 13:00:00,21.05,57.35,0.41
446,S01,2025-02-19 14:00:00,24.65C,33.36,3.482
447,S01,2025-02-19 15:00:00,23.76,42.34,1.941
448,S01,2025-02-19 16:00:00,25.78C,62.17,1.699
449,S01,2025-02-19 17:00:00,14.37,35.71,1.325
450,S01,2025-02-19 18:00:00,21.1C,51.05,2.453
451,S01,2025-02-19 19:00:00,20.09,64.93,0.469
452,S01,2025-02-19 20:00:00,22.88,60.9,2.158
453,S01,2025-02-19 21:00:00,21.18,53.32,1.999
454,S01,2025-02-19 22:00:00,21.58,37.97,0.717
455,S01,2025-02-19 23:00:00,25.7,63.71,0.85
456,S01,2025-02-20 00:00:00,25.91C,50.44,0.928
457,S01,2025-02-20 01:00:00,11.88,45.94,0.827
458,S01,2025-02-20 02:00:00,19.57,34.42,0.355
459,S01,2025-02-20 03:00:00,21.59,23.52,0.349
460,S01,2025-02-20 04:00:00,20.81,49.27,
461,S01,2025-02-20 05:00:00,19.91,40.75,0.07
462,S01,2025-02-20 06:00:00,17.04,28.12,1.032
463,S01,2025-02-20 07:00:00,18.42C,54.43,0.604
464,S01,2025-02-20 08:00:00,23.57,47.84,0.428
465,S01,2025-02-20 09:00:00,24.78,39.22,1.739
